"","edu2F","labM","LifeExpect","ExpectYrsEd","GNIperCapita","MMRatio","BirthRate","PercRepresinParliament"
"1",5.9,79.5,60.4,9.3,1885,400,86.8,27.6
"2",81.8,65.5,77.8,11.8,9943,21,15.3,20.7
"3",26.7,72.2,74.8,14,13054,89,10,25.7
"4",56.3,75,76.3,17.9,22050,69,54.4,36.8
"5",94,72.6,74.7,12.3,8124,29,27.1,10.7
"6",94.3,71.8,82.4,20.2,42261,6,12.1,30.5
"7",100,67.7,81.4,15.7,43869,4,4.1,30.3
"8",93.7,69.6,70.8,11.9,16428,26,40,15.6
"9",91.2,79.3,75.4,12.6,21336,37,28.5,16.7
"10",56.7,86.9,76.6,14.4,38599,22,13.8,15
"11",34.1,84.1,71.6,10,3191,170,80.6,20
"12",89.5,76.6,75.6,15.4,12488,52,48.4,19.6
"13",87,63.1,71.3,15.7,16676,1,20.6,30.1
"14",77.5,59.3,80.8,16.3,41187,6,6.7,42.4
"15",76.4,82.3,70,13.6,7614,45,71.4,13.3
"16",11.3,78.3,59.6,11.1,1767,340,90.2,8.4
"17",34,77.2,69.5,12.6,7176,120,40.9,8.3
"18",47.6,80.9,68.3,13.2,5760,200,71.9,51.8
"19",44.9,57.3,76.5,13.6,9638,8,15.1,19.3
"20",73.6,81.6,64.5,12.5,16646,170,44.2,9.5
"21",54.6,80.8,74.5,15.2,15175,69,70.8,9.6
"22",93,59,74.2,14.4,15596,5,35.9,20.4
"23",0.9,90,58.7,7.8,1591,400,115.4,13.3
"24",5.3,82,56.7,10.1,758,740,30.3,34.9
"25",14,81.4,51.5,8.9,3171,720,130.3,9.2
"26",9.9,86.5,68.4,10.9,2949,170,44.3,19
"27",21.3,76.8,55.5,10.4,2803,590,115.8,27.1
"28",100,71,82,15.9,42155,11,14.5,28.2
"29",10.1,85.1,50.7,7.2,581,880,98.3,12.5
"30",1.7,79.2,51.6,7.4,2085,980,152,14.9
"31",73.3,74.8,81.7,15.2,21290,22,55.3,15.8
"32",58.7,78.3,75.8,13.1,12547,32,8.6,23.6
"33",56.9,79.7,74,13.5,12040,83,68.5,20.9
"34",39.7,73,62.3,11.1,6012,410,126.7,11.5
"35",12.8,73.2,58.7,9.8,680,730,135.3,8.2
"36",50.7,79,79.4,13.9,13413,38,60.8,33.3
"37",85,58.4,77.3,14.8,19409,13,12.7,25.8
"38",74.3,70,79.4,13.8,7301,80,43.1,48.9
"39",76,71.1,80.2,14,28633,10,5.5,12.5
"40",99.9,68.3,78.6,16.4,26660,5,4.9,18.9
"41",95.5,66.4,80.2,18.7,44025,5,5.1,38
"42",55.6,78.6,73.5,13.1,11883,100,99.6,19.1
"43",40.1,82.7,75.9,14.2,10605,87,77,41.6
"44",43.9,74.8,71.1,13.5,10512,45,43,2.2
"45",36.8,79,73,12.3,7349,69,76,27.4
"46",100,68.9,76.8,16.5,25214,11,16.8,19.8
"47",7.8,89.3,64.1,8.5,1428,420,78.4,25.5
"48",64.2,72,70,15.7,7493,59,42.8,14
"49",100,64,80.8,17.1,38695,4,9.2,42.5
"50",78,61.6,82.2,16,38056,12,5.7,25.7
"51",53.9,65.4,64.4,12.5,16367,240,103,16.2
"52",17.4,82.9,60.2,8.8,1507,430,115.8,9.4
"53",89.7,75.1,74.9,13.8,7164,41,46.8,11.3
"54",96.3,66.4,80.9,16.5,43919,7,3.8,36.9
"55",45.2,71.4,61.4,11.5,3852,380,58.4,10.9
"56",59.5,62.5,80.9,17.6,24524,5,11.9,21
"57",21.9,88.2,71.8,10.7,6929,140,97.2,13.3
"58",60.3,80.5,66.4,10.3,6522,250,88.5,31.3
"59",22.4,71,62.8,8.7,1669,380,42,3.5
"60",28,82.9,73.1,11.1,3938,120,84,25.8
"61",97.9,60,75.2,15.4,22916,14,12.1,10.1
"62",91,77.4,82.6,19,35182,4,11.5,41.3
"63",27,79.9,68,11.7,5497,190,32.8,12.2
"64",39.9,84.2,68.9,13,9788,190,48.3,17.1
"65",62.2,73.6,75.4,15.1,15440,23,31.6,3.1
"66",27.8,69.8,69.4,10.1,14003,67,68.7,26.5
"67",80.5,68.1,80.9,18.6,39568,9,8.2,19.9
"68",84.4,69.1,82.4,16,30676,2,7.8,22.5
"69",71.2,59.5,83.1,16,33030,4,4,30.1
"70",74,70.9,75.7,12.4,7415,80,70.1,16.7
"71",87,70.4,83.5,15.3,36927,6,5.4,11.6
"72",69.5,66.6,74,13.5,11365,50,26.5,11.6
"73",95.3,77.9,69.4,15,20867,26,29.9,20.1
"74",25.3,72.4,61.6,11,2762,400,93.6,20.8
"75",77,72.1,81.9,16.9,33890,27,2.2,16.3
"76",55.6,83.1,74.4,14.7,83961,14,14.5,1.5
"77",94.5,79.5,70.6,12.5,3044,75,29.3,23.3
"78",98.9,67.6,74.2,15.2,22281,13,13.5,18
"79",53,70.9,79.3,13.8,16509,16,12,3.1
"80",21.9,73.5,49.8,11.1,3306,490,89.4,26.8
"81",15.4,64.8,60.9,9.5,805,640,117.4,10.7
"82",55.5,76.4,71.6,14,14911,15,2.5,16
"83",89.1,67.3,73.3,16.4,24500,11,10.6,23.4
"84",100,64.6,81.7,13.9,58711,11,8.3,28.3
"85",11.1,81.5,62.8,10.8,747,510,144.8,16.7
"86",65.1,75.5,74.7,12.7,22762,29,5.7,14.2
"87",27.3,77.5,76.8,13,12328,31,4.2,5.9
"88",7.7,81.4,58,8.4,1583,550,175.6,9.5
"89",68.6,66.3,80.6,14.4,27930,9,18.2,13
"90",8.3,79.1,63.1,8.5,3560,320,73.3,22.2
"91",49.4,74.2,74.4,15.6,17470,73,30.9,11.6
"92",55.7,79.9,76.8,13.1,16056,49,63.4,37.1
"93",93.6,44.2,71.6,11.9,5223,21,29.3,20.8
"94",85.3,69.3,69.4,14.6,10729,68,18.7,14.9
"95",84.2,57.3,76.2,15.2,14558,7,15.2,17.3
"96",20.7,75.8,74,11.6,6850,120,35.8,11
"97",1.4,82.8,55.1,9.3,1123,480,137.8,39.6
"98",22.9,82.3,65.9,8.6,4608,200,12.1,4.7
"99",33.3,63.7,64.8,11.3,9418,130,54.9,37.7
"100",17.7,87.1,69.6,12.4,2311,190,73.7,29.5
"101",87.7,70.6,81.6,17.9,45435,6,6.2,36.9
"102",95,73.8,81.8,19.2,32689,8,25.3,31.4
"103",39.4,80.3,74.9,11.5,4457,100,100.8,39.1
